Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71886536,0,"Thursday, November 15, 2012 02:11:24 UTC",40.3180,-123.6733,1.9,24.20,13,"Northern California"
uw,60474697,1,"Thursday, November 15, 2012 01:41:28 UTC",48.2147,-121.7665,1.1,15.30,18,"Washington"
nc,71886506,1,"Thursday, November 15, 2012 01:39:28 UTC",37.4118,-118.6013,2.2,11.10,30,"Central California"
us,c000dsvv,4,"Thursday, November 15, 2012 01:36:38 UTC",43.9711,39.1083,4.1,18.00,21,"Caucasus region, Russia"
ci,15245393,0,"Thursday, November 15, 2012 01:30:51 UTC",33.7897,-116.6585,1.3,18.00,13,"Southern California"
us,c000dsvr,5,"Thursday, November 15, 2012 01:30:39 UTC",27.4912,140.0814,4.4,485.10,128,"Bonin Islands, Japan region"
ci,15245385,0,"Thursday, November 15, 2012 01:00:22 UTC",33.4515,-116.5778,1.1,11.50,36,"Southern California"
uw,60474672,1,"Thursday, November 15, 2012 00:49:52 UTC",44.0142,-121.2382,2.1,0.00,15,"Oregon"
ak,10600424,1,"Thursday, November 15, 2012 00:36:23 UTC",65.0090,-147.3321,1.5,0.00,14,"northern Alaska"
ci,15245377,0,"Thursday, November 15, 2012 00:35:45 UTC",33.5947,-116.6342,1.4,15.50,47,"Southern California"
ci,15245369,0,"Thursday, November 15, 2012 00:35:35 UTC",33.5920,-116.6353,1.3,13.30,55,"Southern California"
uw,60474657,1,"Thursday, November 15, 2012 00:26:51 UTC",49.4295,-120.5338,2.1,0.00,10,"British Columbia, Canada"
us,2012hzae,6,"Thursday, November 15, 2012 00:25:52 UTC",39.6266,73.5230,4.2,52.60,16,"Kyrgyzstan"
ak,10600352,1,"Thursday, November 15, 2012 00:05:11 UTC",60.6088,-142.7650,1.3,2.60, 5,"Southern Alaska"
uw,60474642,1,"Thursday, November 15, 2012 00:03:39 UTC",49.4563,-120.5340,2.2,0.00,11,"British Columbia, Canada"
us,2012hzac,6,"Thursday, November 15, 2012 00:00:28 UTC",32.8774,92.3179,4.0,10.00,17,"Xizang-Qinghai border region"
